,lat,lon,,
621,26.71418167,-80.05750667,Florida,
622,26.71062,-80.05996,Florida,
623,26.70764833,-80.05900667,Florida,
624,26.708305,-80.055955,Florida,
625,26.70966,-80.06384,Florida,
626,26.714553,-80.062638,Florida,
627,26.71546333,-80.05993333,Florida,
628,26.71832,-80.06286833,Florida,
629,26.7228,-80.06181167,Florida,
630,26.72731,-80.06046167,Florida,
631,26.73017333,-80.06110333,Florida,
632,26.732745,-80.06269,Florida,
633,26.73782833,-80.06418833,Florida,
634,26.74025833,-80.06367,Florida,
635,26.74446667,-80.064,Florida,
636,26.7472,-80.06288333,Florida,
637,26.75022167,-80.06197333,Florida,
638,26.75227833,-80.06303,Florida,
639,26.75114,-80.06505333,Florida,
640,26.74761333,-80.06668667,Florida,
641,26.74438167,-80.06892333,Florida,
642,26.74826833,-80.07000833,Florida,
643,26.74074667,-80.06696667,Florida,
644,26.72961667,-80.06807667,Florida,
645,26.74231167,-80.069205,Florida,
646,26.73476667,-80.063865,Florida,
647,26.72937833,-80.06642667,Florida,
648,26.72901,-80.07032167,Florida,
649,26.72576333,-80.06607333,Florida,
650,26.72227167,-80.06856333,Florida,
651,26.721385,-80.06502333,Florida,
652,26.72000333,-80.06762333,Florida,
653,26.71912667,-80.05781,Florida,
654,26.70518667,-80.06141667,Florida,
655,26.70136333,-80.06079833,Florida,
656,26.70178333,-80.06483667,Florida,
657,26.69815,-80.068386,Florida,
658,26.71188167,-80.056925,Florida,
659,26.71778667,-80.05692667,Florida,
660,26.72074667,-80.05479,Florida,
661,26.72591167,-80.069405,Florida,
662,26.73009,-80.073275,Florida,
663,26.72922,-80.075505,Florida,
664,26.726325,-80.07628167,Florida,
